name                    |obsid      |ra         |dec        |start_time         |processing_date    |xrt_exposure|uvot_exposure|bat_exposure|archive_date|_offset
ASASSN-15lh             |00033874006|22 02 10.72|-61 38 27.3|2015-08-28T14:05:58|2015-09-07T00:00:00|  4351.52200|   4217.90800|  4370.00000|  2015-09-08| 1.2541
ASASSN-15lh             |00033830001|22 02 38.38|-61 38 27.2|2015-06-24T00:33:59|2015-07-04T00:00:00|  2515.79500|   2439.26700|  2534.00000|  2015-07-05| 2.9455
ASASSN-15lh             |00033830034|22 02 05.35|-61 38 26.6|2015-08-31T12:30:43|2015-09-10T00:00:00|   921.82100|    891.38200|   746.00000|  2015-09-11| 1.6497
ASASSN-15lh             |00033830049|22 02 08.52|-61 38 26.2|2015-11-30T03:44:58|2015-12-10T00:00:00|  2040.21100|   2005.03400|  2053.00000|  2015-12-11| 1.4056
ASASSN-15lh             |00033886036|22 02 24.40|-61 38 22.9|2016-06-15T18:27:58|2016-06-25T00:00:00|  3413.48100|   3314.54200|  3439.00000|  2016-06-26| 1.5998
ASASSN-15lh             |00033886060|22 02 08.74|-61 38 18.8|2016-10-06T07:57:58|2016-10-16T00:00:00|  4877.44400|   4777.18800|  4895.00000|  2016-10-17| 1.4939
ASASSN-15lh             |00033886050|22 02 09.54|-61 38 16.5|2016-08-11T12:35:58|2016-08-21T00:00:00|  2497.40000|   2457.93600|  2509.00000|  2016-08-22| 1.4790
ASASSN-15lh             |00033886068|22 02 14.44|-61 38 16.1|2016-11-27T15:00:58|2016-12-07T00:00:00|   787.42400|    770.07500|   794.00000|  2016-12-08| 1.3136
ASASSN-15lh             |00033830003|22 02 14.46|-61 38 15.9|2015-06-28T17:54:58|2015-07-08T00:00:00|  2294.68900|   2220.83900|  2314.00000|  2015-07-09| 1.3178
ASASSN-15lh             |00033830036|22 02 05.54|-61 38 11.5|2015-09-17T19:23:58|2015-09-27T00:00:00|  2561.36200|   2473.83400|  2579.00000|  2015-09-28| 1.8168
ASASSN-15lh             |00034112005|22 02 10.38|-61 38 10.3|2015-11-02T06:46:58|2015-11-12T00:00:00|  2399.12200|   2349.72500|  2422.00000|  2015-11-13| 1.5290
ASASSN-15lh             |00033886001|22 02 09.66|-61 38 09.2|2015-08-21T14:50:58|2015-08-31T00:00:00|  3275.50900|   3207.33500|  3295.00000|  2015-09-01| 1.5818
ASASSN-15lh             |00033874010|22 02 06.13|-61 38 06.9|2015-10-03T13:40:57|2015-10-13T00:00:00|  4771.39900|   4693.51400|  4788.00000|  2015-10-14| 1.8340
ASASSN-15lh             |00033886057|22 02 03.25|-61 38 05.9|2016-09-09T00:17:58|2016-09-19T00:00:00|  6115.98600|   6013.28300|  6156.00000|  2016-09-20| 2.0701
ASASSN-15lh             |00034112006|22 02 03.38|-61 38 05.4|2015-11-05T00:25:57|2015-11-15T00:00:00|  2006.21700|   1930.36400|  2019.00000|  2015-11-16| 2.0642
ASASSN-15lh             |00034112008|22 02 10.47|-61 38 02.1|2015-11-17T09:26:58|2015-11-27T00:00:00|  2053.47800|   2015.58200|  2066.00000|  2015-11-28| 1.6510
ASASSN-15lh             |00033830005|22 02 18.98|-61 38 00.7|2015-07-02T12:36:58|2015-07-12T00:00:00|  2903.43400|   2829.07200|  2922.00000|  2015-07-13| 1.6211
ASASSN-15lh             |00033886051|22 02 13.47|-61 37 59.7|2016-08-15T08:53:57|2016-08-25T00:00:00|  5498.55000|   4341.53100|  5534.00000|  2016-08-26| 1.6001
ASASSN-15lh             |00033830031|22 02 08.51|-61 37 59.6|2015-08-16T16:45:58|2015-08-26T00:00:00|  2261.24000|   1080.23300|  2274.00000|  2015-08-27| 1.7846
ASASSN-15lh             |00033886067|22 02 12.84|-61 37 58.3|2016-11-22T04:31:58|2016-12-02T00:00:00|  2153.09200|   2101.48400|  2172.00000|  2016-12-03| 1.6349
ASASSN-15lh             |00034112009|22 02 20.75|-61 37 54.7|2015-11-23T04:14:58|2015-12-03T00:00:00|  1803.59300|   1768.95300|  1816.00000|  2015-12-04| 1.7801
ASASSN-15lh             |00033830030|22 02 11.71|-61 37 52.8|2015-08-10T20:15:58|2015-08-20T00:00:00|  2978.66300|   2924.09800|  2990.00000|  2015-08-21| 1.7541
ASASSN-15lh             |00033886070|22 02 10.98|-61 37 52.6|2016-12-03T22:36:13|2016-12-13T00:00:00|   205.59100|    198.91200|   211.00000|  2016-12-14| 1.7806
ASASSN-15lh             |00033886080|22 02 12.79|-61 37 51.6|2018-07-25T04:42:57|2018-08-04T00:00:00|  4313.51500|   4169.95700|  4353.00000|  2018-08-05| 1.7464
ASASSN-15lh             |00033874009|22 02 03.41|-61 37 51.4|2015-09-19T04:45:58|2015-09-29T00:00:00|  4754.15500|   4629.98700|  4784.00000|  2015-09-30| 2.2369
ASASSN-15lh             |00033830048|22 02 14.54|-61 37 49.5|2015-11-27T11:48:58|2015-12-07T00:00:00|   899.43200|    872.11800|   914.00000|  2015-12-08| 1.7557
ASASSN-15lh             |00034112007|22 02 10.58|-61 37 48.6|2015-11-08T12:56:58|2015-11-18T00:00:00|  1882.97300|   1843.75600|  1895.00000|  2015-11-19| 1.8592
ASASSN-15lh             |00033830045|22 02 07.33|-61 37 47.6|2015-10-14T16:03:57|2015-10-24T00:00:00|  1498.20000|   1473.75500|  1397.00000|  2015-10-25| 2.0271
ASASSN-15lh             |00033830042|22 02 07.87|-61 37 40.5|2015-10-07T10:11:58|2015-10-17T00:00:00|  3038.83000|   2969.47800|  2368.00000|  2015-10-18| 2.1042
ASASSN-15lh             |00033830051|22 02 03.60|-61 37 34.3|2015-12-06T04:45:58|2015-12-16T00:00:00|  1511.88400|   1459.06000|  1530.00000|  2015-12-17| 2.4499
ASASSN-15lh             |00033886004|22 02 10.56|-61 37 27.4|2015-10-10T09:58:58|2015-10-20T00:00:00|  3724.18000|   3699.34900|  3790.00000|  2015-10-21| 2.1984
ASASSN-15lh             |00033886061|22 02 12.67|-61 37 25.6|2016-10-16T07:17:58|2016-10-26T00:00:00|  2754.82300|   2682.58800|  2776.00000|  2016-10-27| 2.1749
ASASSN-15lh             |00033886042| 22 02 13.0|-61 37 18.0|2016-07-15T06:44:23|2016-07-26T00:00:00|  3364.84600|   3229.21400|  3416.00000|  2016-07-26| 2.2963
ASASSN-15lh             |00033886074| 22 02 20.5|-61 37 16.7|2017-01-04T13:42:57|2017-01-14T00:00:00|  4605.65900|   4498.89400|  4292.00000|  2017-01-15| 2.3634
ASASSN-15lh             |00033830056|22 02 06.60|-61 37 12.4|2015-12-24T21:07:58|2016-01-03T00:00:00|  2058.48700|   2023.10600|  2072.00000|  2016-01-04| 2.5935
ASASSN-15lh             |00033886040|22 02 16.25|-61 37 05.6|2016-06-30T03:05:57|2016-07-10T00:00:00|  2060.23900|   1961.03500|  2087.00000|  2016-07-11| 2.4857
ASASSN-15lh             |00033830040| 22 02 01.6|-61 37 05.2|2015-10-01T12:22:58|2015-10-11T00:00:00|  2996.34000|   2943.50600|  3015.00000|  2015-10-12| 3.0204
ASASSN-15lh             |00034112003| 22 02 02.3|-61 37 04.9|2015-10-27T17:12:58|2015-11-06T00:00:00|   614.27400|    603.15900|   626.00000|  2015-11-07| 2.9604
ASASSN-15lh             |00033830047|22 02 13.31|-61 37 02.6|2015-10-18T03:09:57|2015-10-28T00:00:00|  2696.06100|   2622.23900|  2718.00000|  2015-10-29| 2.5462
ASASSN-15lh             |00033886009|22 01 54.86|-61 37 02.3|2015-12-15T08:59:58|2015-12-25T00:00:00|  2794.84900|   2741.64800|  2807.00000|  2015-12-26| 3.5245
ASASSN-15lh             |00033830041| 22 02 07.4|-61 36 59.9|2015-10-04T08:59:58|2015-10-14T00:00:00|  2830.72100|   2762.87600|  2856.00000|  2015-10-15| 2.7651
ASASSN-15lh             |00033830059|22 02 05.19|-61 36 54.1|2015-12-29T01:35:58|2016-01-08T00:00:00|   421.22000|    397.89200|   428.00000|  2016-01-09| 2.9396
ASASSN-15lh             |00033886007|22 02 09.63|-61 36 53.9|2015-11-20T02:48:57|2015-11-30T00:00:00|  3577.96100|   3501.06500|  3598.00000|  2015-12-01| 2.7669
ASASSN-15lh             |00033830054| 22 02 03.2|-61 36 52.5|2015-12-18T08:37:57|2015-12-28T00:00:00|  1973.25400|   1934.28000|  1982.00000|  2015-12-29| 3.0783
ASASSN-15lh             |00033886047|22 02 26.29|-61 36 49.1|2016-08-08T00:17:58|2016-08-18T00:00:00|  1278.71000|   1242.86900|  1291.00000|  2016-08-19| 3.0450
ASASSN-15lh             |00033886003|22 01 45.94|-61 36 37.0|2015-09-19T14:22:58|2015-09-29T00:00:00|  3300.67800|   3137.87100|  3332.00000|  2015-09-30| 4.5873
ASASSN-15lh             |00034112002|22 02 08.85|-61 36 36.4|2015-10-24T17:14:57|2015-11-03T00:00:00|  1933.12400|   1879.34800|  1945.00000|  2015-11-04| 3.0723
ASASSN-15lh             |00033830050|22 02 22.24|-61 36 34.5|2015-12-03T06:36:57|2015-12-13T00:00:00|  1913.59400|   1880.51600|  1927.00000|  2015-12-14| 3.1089
ASASSN-15lh             |00033886059|22 01 55.20|-61 36 31.2|2016-09-23T04:29:58|2016-10-03T00:00:00|  5891.01700|   5765.67100|  5932.00000|  2016-10-04| 3.8900
ASASSN-15lh             |00033830057|22 02 30.36|-61 36 30.6|2015-12-27T00:30:05|2016-01-06T00:00:00|  1546.99600|   1495.89700|  1562.00000|  2016-01-07| 3.5418
ASASSN-15lh             |00033886039|22 02 00.95|-61 36 26.1|2016-06-24T00:03:58|2016-07-04T00:00:00|  1796.89800|   1726.71700|  1817.00000|  2016-07-05| 3.5831
ASASSN-15lh             |00033830039|22 01 54.75|-61 36 17.3|2015-09-28T12:28:58|2015-10-08T00:00:00|  2550.90100|   2518.89200|  2568.00000|  2015-10-09| 4.1064
ASASSN-15lh             |00033886041|22 02 10.40|-61 36 10.3|2016-07-08T18:24:58|2016-07-19T00:00:00|  4358.80700|   4271.88100|  4390.00000|  2016-07-19| 3.4571
ASASSN-15lh             |00033886044| 22 02 12.1|-61 36 10.0|2016-07-31T10:13:58|2016-08-10T00:00:00|   844.95600|    827.82100|   851.00000|  2016-08-11| 3.4343
