obsid|status    |name                |ra         |dec       |time               |detector|grating|exposure|type|pi         |public_date|_offset
19875|archived  |A1795               |13 48 52.70|26 35 27.0|2017-04-22T10:01:10|ACIS-I  |NONE   |  25770.|CAL |Calibration| 2017-04-24| 0.8098
19876|archived  |A1795               |13 48 52.70|26 35 27.0|2017-04-17T09:24:35|ACIS-I  |NONE   |  23560.|CAL |Calibration| 2017-04-20| 0.8098
19877|archived  |A1795               |13 48 52.70|26 35 27.0|2017-04-23T01:35:02|ACIS-S  |NONE   |  15060.|CAL |Calibration| 2017-04-24| 0.8098
19878|archived  |A1795               |13 48 52.70|26 35 27.0|2017-04-19T04:17:13|ACIS-S  |NONE   |  19060.|CAL |Calibration| 2017-04-19| 0.8098
19879|archived  |A1795               |13 48 52.70|26 35 27.0|2017-04-27T22:58:21|ACIS-S  |NONE   |  20050.|CAL |Calibration| 2017-04-28| 0.8098
19880|archived  |A1795               |13 48 52.70|26 35 27.0|2017-04-28T04:52:23|ACIS-S  |NONE   |  14770.|CAL |Calibration| 2017-04-28| 0.8098
19881|archived  |A1795               |13 48 52.70|26 35 27.0|2017-04-29T17:36:32|ACIS-S  |NONE   |  20060.|CAL |Calibration| 2017-04-30| 0.8098
19968|archived  |A1795               |13 48 52.70|26 35 27.0|2017-11-19T02:55:11|ACIS-S  |NONE   |  15060.|CAL |Calibration| 2017-11-19| 0.8098
19969|archived  |A1795               |13 48 52.70|26 35 27.0|2017-12-01T07:02:57|ACIS-I  |NONE   |  20060.|CAL |Calibration| 2017-12-05| 0.8098
20642|archived  |A1795               |13 48 52.70|26 35 27.0|2018-11-16T09:37:52|ACIS-S  |NONE   |  15050.|CAL |Calibration| 2018-11-19| 0.8098
20643|archived  |A1795               |13 48 52.70|26 35 27.0|2018-11-25T15:43:15|ACIS-I  |NONE   |  20070.|CAL |Calibration| 2018-11-26| 0.8098
20644|archived  |A1795               |13 48 52.70|26 35 27.0|2018-04-13T13:17:23|ACIS-I  |NONE   |  19560.|CAL |Calibration| 2018-04-14| 0.8098
20645|archived  |A1795               |13 48 52.70|26 35 27.0|2018-04-11T20:22:45|ACIS-I  |NONE   |  23080.|CAL |Calibration| 2018-04-12| 0.8098
20646|archived  |A1795               |13 48 52.70|26 35 27.0|2018-04-16T19:30:04|ACIS-I  |NONE   |  25060.|CAL |Calibration| 2018-04-17| 0.8098
